SYMULACJA - Parametry: S=5, L=0.8, N=10.0
Sekunda | Ro | Q | W
0 | 0.00 | 0 | 0.00
1 | 0.20 | 0 | 0.00
2 | 0.40 | 0 | 0.00
3 | 0.80 | 0 | 0.00
4 | 1.00 | 0 | 0.00
5 | 1.00 | 1 | 0.00
6 | 1.00 | 3 | 0.00
7 | 1.00 | 5 | 0.00
8 | 1.00 | 6 | 0.00
9 | 1.00 | 6 | 0.00
10 | 1.00 | 6 | 0.00
11 | 1.00 | 7 | 0.00
12 | 1.00 | 8 | 0.00
13 | 1.00 | 7 | 1.00
14 | 1.00 | 7 | 1.00
15 | 1.00 | 6 | 1.89
16 | 1.00 | 5 | 2.70
17 | 1.00 | 6 | 2.70
18 | 1.00 | 6 | 2.70
19 | 1.00 | 8 | 2.70
20 | 1.00 | 10 | 2.70
21 | 1.00 | 10 | 2.70
22 | 1.00 | 10 | 2.70
23 | 1.00 | 10 | 2.25
24 | 1.00 | 10 | 2.08
25 | 1.00 | 10 | 2.08
26 | 1.00 | 10 | 1.93
27 | 1.00 | 9 | 3.13
28 | 1.00 | 9 | 3.13
29 | 1.00 | 9 | 3.13
30 | 1.00 | 10 | 3.13
31 | 1.00 | 10 | 3.13
32 | 1.00 | 9 | 4.50
33 | 1.00 | 9 | 4.50
34 | 1.00 | 8 | 5.76
35 | 1.00 | 8 | 5.44
36 | 1.00 | 8 | 5.16
37 | 1.00 | 8 | 5.16
38 | 1.00 | 8 | 4.90
39 | 1.00 | 8 | 4.90
40 | 1.00 | 8 | 4.90
41 | 1.00 | 8 | 4.90
42 | 1.00 | 7 | 6.14
43 | 1.00 | 8 | 6.14
44 | 1.00 | 9 | 6.14
45 | 1.00 | 7 | 8.26
46 | 1.00 | 7 | 7.92
47 | 1.00 | 9 | 7.92
48 | 1.00 | 9 | 7.60
49 | 1.00 | 9 | 7.60
50 | 1.00 | 9 | 7.60
51 | 1.00 | 10 | 7.60
52 | 1.00 | 10 | 7.31
53 | 1.00 | 10 | 7.31
54 | 1.00 | 10 | 7.04
55 | 1.00 | 10 | 7.04
56 | 1.00 | 10 | 7.04
57 | 1.00 | 10 | 6.79
58 | 1.00 | 10 | 6.79
59 | 1.00 | 9 | 7.93
60 | 1.00 | 8 | 9.03
